x: 1, y: 0.8
x: 1.001657261030214, y: 0.7988821633204898
x: 1.0033137079455314, y: 0.7977648757684107
x: 1.0049693407459528, y: 0.7966481373437628
x: 1.006624159431478, y: 0.7955319480465461
x: 1.0082781640021068, y: 0.7944163078767607
x: 1.0099313544578394, y: 0.7933012168344064
x: 1.0115837307986757, y: 0.7921866749194834
x: 1.0132352930246158, y: 0.7910726821319916
x: 1.0148860411356597, y: 0.789959238471931
x: 1.0165359751318073, y: 0.7888463439393015
x: 1.0181850950130586, y: 0.7877339985341033
x: 1.0198334007794136, y: 0.7866222022563363
x: 1.0214808924308725, y: 0.7855109551060004
x: 1.0231275699674351, y: 0.7844002570830959
x: 1.0247734333891014, y: 0.7832901081876226
x: 1.0264184826958715, y: 0.7821805084195804
x: 1.0280627178877455, y: 0.7810714577789695
x: 1.029706138964723, y: 0.7799629562657897
x: 1.0313487459268045, y: 0.7788550038800411
x: 1.0329905387739895, y: 0.7777476006217238
x: 1.0346315175062784, y: 0.7766407464908377
x: 1.036271682123671, y: 0.7755344414873828
x: 1.0379110326261674, y: 0.7744286856113591
x: 1.0395495690137675, y: 0.7733234788627666
x: 1.0411872912864713, y: 0.7722188212416053
x: 1.0428241994442788, y: 0.7711147127478752
x: 1.0444602934871903, y: 0.7700111533815763
x: 1.0460955734152053, y: 0.7689081431427086
x: 1.0477300392283242, y: 0.7678056820312722
x: 1.049363690926547, y: 0.766703770047267
x: 1.0509965285098732, y: 0.765602407190693
x: 1.0526285519783034, y: 0.7645015934615501
x: 1.0542597613318372, y: 0.7634013288598385
x: 1.0558901565704748, y: 0.762301613385558
x: 1.0575197376942163, y: 0.7612024470387088
x: 1.0591485047030613, y: 0.7601038298192908
x: 1.0607764575970102, y: 0.759005761727304
x: 1.0624035963760627, y: 0.7579082427627485
x: 1.064029921040219, y: 0.7568112729256241
x: 1.0656554315894793, y: 0.7557148522159309
x: 1.067280128023843, y: 0.754618980633669
x: 1.0689040103433107, y: 0.7535236581788382
x: 1.0705270785478822, y: 0.7524288848514387
x: 1.0721493326375573, y: 0.7513346606514704
x: 1.0737707726123362, y: 0.7502409855789333
x: 1.0753913984722188, y: 0.7491478596338274
x: 1.0770112102172051, y: 0.7480552828161526
x: 1.0786302078472954, y: 0.7469632551259091
x: 1.0802483913624892, y: 0.7458717765630968
x: 1.0818657607627868, y: 0.7447808471277156
x: 1.0834823160481881, y: 0.7436904668197658
x: 1.0850980572186932, y: 0.7426006356392472
x: 1.0867129842743022, y: 0.7415113535861597
x: 1.0883270972150147, y: 0.7404226206605035
x: 1.0899403960408311, y: 0.7393344368622784
x: 1.0915528807517514, y: 0.7382468021914845
x: 1.0931645513477752, y: 0.7371597166481219
x: 1.094775407828903, y: 0.7360731802321905
x: 1.0963854501951342, y: 0.7349871929436903
x: 1.0979946784464694, y: 0.7339017547826213
x: 1.0996030925829083, y: 0.7328168657489835
x: 1.101210692604451, y: 0.7317325258427769
x: 1.1028174785110973, y: 0.7306487350640015
x: 1.1044234503028474, y: 0.7295654934126573
x: 1.1060286079797013, y: 0.7284828008887444
x: 1.107632951541659, y: 0.7274006574922627
x: 1.1092364809887203, y: 0.7263190632232122
x: 1.1108391963208855, y: 0.7252380180815928
x: 1.1124410975381545, y: 0.7241575220674047
x: 1.114042184640527, y: 0.7230775751806477
x: 1.1156424576280035, y: 0.721998177421322
x: 1.1172419165005836, y: 0.7209193287894274
x: 1.1188405612582675, y: 0.7198410292849642
x: 1.1204383919010552, y: 0.7187632789079321
x: 1.1220354084289466, y: 0.7176860776583313
x: 1.1236316108419417, y: 0.7166094255361616
x: 1.1252269991400405, y: 0.7155333225414231
x: 1.1268215733232432, y: 0.7144577686741158
x: 1.1284153333915496, y: 0.7133827639342397
x: 1.1300082793449597, y: 0.7123083083217949
x: 1.1316004111834737, y: 0.7112344018367813
x: 1.1331917289070914, y: 0.7101610444791989
x: 1.1347822325158128, y: 0.7090882362490477
x: 1.136371922009638, y: 0.7080159771463277
x: 1.1379607973885668, y: 0.7069442671710389
x: 1.1395488586525995, y: 0.7058731063231812
x: 1.141136105801736, y: 0.7048024946027549
x: 1.142722538835976, y: 0.7037324320097598
x: 1.14430815775532, y: 0.7026629185441958
x: 1.1458929625597676, y: 0.7015939542060631
x: 1.147476953249319, y: 0.7005255389953615
x: 1.1490601298239742, y: 0.6994576729120912
